id,order_id,product_id,variant_id,name,title,vendor,price,quantity,sku,total_discount,_fivetran_synced
53,24,23,35,30ml,30ml,Belle & Glow,19.99,1,BG-PRIM-30ML,0,2025-07-19 10:00:00
54,25,5,10,Black,Black,Belle & Glow,15.99,1,BG-MASC-BLACK,0,2025-07-19 10:00:00
55,25,13,21,Black,Black,Belle & Glow,12.99,1,BG-LINER-BLACK,0,2025-07-19 10:00:00
56,25,5,11,Brown,Brown,Belle & Glow,15.99,1,BG-MASC-BROWN,7.1,2025-07-19 10:00:00
57,26,6,12,150ml,150ml,Belle & Glow,22.99,1,BG-CLEAN-150ML,0,2025-07-19 10:00:00
58,26,14,23,50ml,50ml,Belle & Glow,29.99,1,BG-SPF-50ML,0,2025-07-19 10:00:00
59,26,2,4,30ml,30ml,Belle & Glow,32.99,1,BG-SERUM-30ML,0,2025-07-19 10:00:00
60,26,21,32,Clear Shine,Clear Shine,Belle & Glow,13.99,2,BG-GLOSS-CLEAR,6.22,2025-07-19 10:00:00
61,27,13,21,Black,Black,Belle & Glow,12.99,1,BG-LINER-BLACK,0,2025-07-19 10:00:00
62,27,13,21,Black,Black,Belle & Glow,12.99,1,BG-LINER-BLACK,5.53,2025-07-19 10:00:00
63,28,3,6,Red Berry,Red Berry,Belle & Glow,18.99,1,BG-LIP-REDBERRY,0,2025-07-19 10:00:00
64,28,13,21,Black,Black,Belle & Glow,12.99,1,BG-LINER-BLACK,0,2025-07-19 10:00:00
65,28,3,6,Red Berry,Red Berry,Belle & Glow,18.99,1,BG-LIP-REDBERRY,1.85,2025-07-19 10:00:00
66,28,1,2,Medium,Medium,Belle & Glow,24.99,1,BG-FOUND-MED,14.7,2025-07-19 10:00:00
67,29,7,13,Warm Tones,Warm Tones,Belle & Glow,34.99,1,BG-EYES-WARM,4.62,2025-07-19 10:00:00
68,29,10,17,30ml,30ml,Belle & Glow,48.99,1,BG-RET-30ML,0,2025-07-19 10:00:00
69,29,2,4,30ml,30ml,Belle & Glow,32.99,1,BG-SERUM-30ML,0,2025-07-19 10:00:00
70,29,13,21,Black,Black,Belle & Glow,12.99,2,BG-LINER-BLACK,0,2025-07-19 10:00:00
71,30,11,18,Coral Rose,Coral Rose,Belle & Glow,16.99,1,BG-BLUSH-CORAL,0,2025-07-19 10:00:00
72,30,23,35,30ml,30ml,Belle & Glow,19.99,1,BG-PRIM-30ML,7.66,2025-07-19 10:00:00
73,31,2,4,30ml,30ml,Belle & Glow,32.99,1,BG-SERUM-30ML,0,2025-07-19 10:00:00
74,31,9,16,Complete Kit,Complete Kit,Belle & Glow,28.99,1,BG-CONT-KIT,1.3,2025-07-19 10:00:00
75,31,1,1,Light,Light,Belle & Glow,24.99,1,BG-FOUND-LIGHT,0,2025-07-19 10:00:00
76,31,11,19,Peach Glow,Peach Glow,Belle & Glow,16.99,2,BG-BLUSH-PEACH,1.9,2025-07-19 10:00:00
77,32,1,1,Light,Light,Belle & Glow,24.99,1,BG-FOUND-LIGHT,0,2025-07-19 10:00:00
78,32,21,32,Clear Shine,Clear Shine,Belle & Glow,13.99,2,BG-GLOSS-CLEAR,0,2025-07-19 10:00:00
79,33,13,21,Black,Black,Belle & Glow,12.99,1,BG-LINER-BLACK,0,2025-07-19 10:00:00
80,33,5,11,Brown,Brown,Belle & Glow,15.99,1,BG-MASC-BROWN,9.2,2025-07-19 10:00:00
81,34,10,17,30ml,30ml,Belle & Glow,48.99,1,BG-RET-30ML,0,2025-07-19 10:00:00
82,34,25,37,12 Piece Set,12 Piece Set,Belle & Glow,59.99,1,BG-BRUSH-12PC,0,2025-07-19 10:00:00
83,34,11,19,Peach Glow,Peach Glow,Belle & Glow,16.99,2,BG-BLUSH-PEACH,0,2025-07-19 10:00:00
84,35,6,12,150ml,150ml,Belle & Glow,22.99,1,BG-CLEAN-150ML,0,2025-07-19 10:00:00
85,35,3,6,Red Berry,Red Berry,Belle & Glow,18.99,1,BG-LIP-REDBERRY,0,2025-07-19 10:00:00
86,36,13,21,Black,Black,Belle & Glow,12.99,1,BG-LINER-BLACK,0,2025-07-19 10:00:00
87,36,8,15,100ml,100ml,Belle & Glow,19.99,1,BG-SCRUB-100ML,2.61,2025-07-19 10:00:00
88,36,1,2,Medium,Medium,Belle & Glow,24.99,1,BG-FOUND-MED,11.73,2025-07-19 10:00:00
89,37,24,36,30ml,30ml,Belle & Glow,41.99,1,BG-ROSE-30ML,0,2025-07-19 10:00:00
90,37,3,8,Deep Plum,Deep Plum,Belle & Glow,18.99,2,BG-LIP-PLUM,8.81,2025-07-19 10:00:00
91,38,28,41,250ml,250ml,Belle & Glow,26.99,1,BG-LOTION-250ML,9.97,2025-07-19 10:00:00
92,39,21,32,Clear Shine,Clear Shine,Belle & Glow,13.99,1,BG-GLOSS-CLEAR,0,2025-07-19 10:00:00
93,39,14,23,50ml,50ml,Belle & Glow,29.99,1,BG-SPF-50ML,14.45,2025-07-19 10:00:00
94,40,13,21,Black,Black,Belle & Glow,12.99,1,BG-LINER-BLACK,0,2025-07-19 10:00:00
95,40,6,12,150ml,150ml,Belle & Glow,22.99,1,BG-CLEAN-150ML,3.0,2025-07-19 10:00:00
96,40,11,18,Coral Rose,Coral Rose,Belle & Glow,16.99,1,BG-BLUSH-CORAL,0.32,2025-07-19 10:00:00
97,40,3,7,Rose Pink,Rose Pink,Belle & Glow,18.99,1,BG-LIP-ROSEPINK,2.28,2025-07-19 10:00:00
98,41,9,16,Complete Kit,Complete Kit,Belle & Glow,28.99,1,BG-CONT-KIT,12.28,2025-07-19 10:00:00
99,42,13,21,Black,Black,Belle & Glow,12.99,2,BG-LINER-BLACK,0,2025-07-19 10:00:00
100,43,13,21,Black,Black,Belle & Glow,12.99,1,BG-LINER-BLACK,0,2025-07-19 10:00:00
101,43,30,43,50ml,50ml,Belle & Glow,14.99,1,BG-HAND-50ML,8.65,2025-07-19 10:00:00
102,44,4,9,50ml,50ml,Belle & Glow,56.99,1,BG-NIGHT-50ML,0,2025-07-19 10:00:00
103,44,7,13,Warm Tones,Warm Tones,Belle & Glow,34.99,1,BG-EYES-WARM,0,2025-07-19 10:00:00
104,44,16,26,30ml,30ml,Belle & Glow,28.99,1,BG-NIAC-30ML,0,2025-07-19 10:00:00
105,45,13,21,Black,Black,Belle & Glow,12.99,1,BG-LINER-BLACK,0,2025-07-19 10:00:00
106,45,15,24,Golden Glow,Golden Glow,Belle & Glow,21.99,1,BG-HIGH-GOLD,0,2025-07-19 10:00:00
107,45,9,16,Complete Kit,Complete Kit,Belle & Glow,28.99,1,BG-CONT-KIT,19.97,2025-07-19 10:00:00
108,46,28,41,250ml,250ml,Belle & Glow,26.99,1,BG-LOTION-250ML,1.34,2025-07-19 10:00:00
109,47,2,4,30ml,30ml,Belle & Glow,32.99,1,BG-SERUM-30ML,0,2025-07-19 10:00:00
110,48,15,24,Golden Glow,Golden Glow,Belle & Glow,21.99,1,BG-HIGH-GOLD,0,2025-07-19 10:00:00
111,48,13,21,Black,Black,Belle & Glow,12.99,1,BG-LINER-BLACK,0,2025-07-19 10:00:00
112,48,1,1,Light,Light,Belle & Glow,24.99,1,BG-FOUND-LIGHT,11.94,2025-07-19 10:00:00
113,49,21,33,Pink Shimmer,Pink Shimmer,Belle & Glow,13.99,1,BG-GLOSS-PINK,0,2025-07-19 10:00:00
114,50,21,32,Clear Shine,Clear Shine,Belle & Glow,13.99,1,BG-GLOSS-CLEAR,0,2025-07-19 10:00:00
115,50,19,30,100ml,100ml,Belle & Glow,24.99,1,BG-SET-100ML,3.96,2025-07-19 10:00:00
116,51,13,21,Black,Black,Belle & Glow,12.99,1,BG-LINER-BLACK,0,2025-07-19 10:00:00
117,51,11,18,Coral Rose,Coral Rose,Belle & Glow,16.99,2,BG-BLUSH-CORAL,7.72,2025-07-19 10:00:00
118,52,24,36,30ml,30ml,Belle & Glow,41.99,1,BG-ROSE-30ML,0,2025-07-19 10:00:00
119,52,25,37,12 Piece Set,12 Piece Set,Belle & Glow,59.99,1,BG-BRUSH-12PC,0,2025-07-19 10:00:00
120,52,20,31,15ml,15ml,Belle & Glow,38.99,1,BG-EYE-15ML,0,2025-07-19 10:00:00
121,53,9,16,Complete Kit,Complete Kit,Belle & Glow,28.99,1,BG-CONT-KIT,11.54,2025-07-19 10:00:00
122,54,1,1,Light,Light,Belle & Glow,24.99,1,BG-FOUND-LIGHT,0,2025-07-19 10:00:00
123,54,3,8,Deep Plum,Deep Plum,Belle & Glow,18.99,2,BG-LIP-PLUM,5.44,2025-07-19 10:00:00
124,55,8,15,100ml,100ml,Belle & Glow,19.99,1,BG-SCRUB-100ML,0,2025-07-19 10:00:00
125,55,1,1,Light,Light,Belle & Glow,24.99,1,BG-FOUND-LIGHT,15.64,2025-07-19 10:00:00
126,56,21,32,Clear Shine,Clear Shine,Belle & Glow,13.99,1,BG-GLOSS-CLEAR,0,2025-07-19 10:00:00
127,56,13,21,Black,Black,Belle & Glow,12.99,1,BG-LINER-BLACK,0,2025-07-19 10:00:00
128,56,2,4,30ml,30ml,Belle & Glow,32.99,1,BG-SERUM-30ML,19.01,2025-07-19 10:00:00
129,57,13,21,Black,Black,Belle & Glow,12.99,1,BG-LINER-BLACK,0,2025-07-19 10:00:00
130,57,30,43,50ml,50ml,Belle & Glow,14.99,1,BG-HAND-50ML,2.89,2025-07-19 10:00:00
131,58,2,4,30ml,30ml,Belle & Glow,32.99,1,BG-SERUM-30ML,0,2025-07-19 10:00:00
132,58,13,21,Black,Black,Belle & Glow,12.99,1,BG-LINER-BLACK,0,2025-07-19 10:00:00
133,58,30,43,50ml,50ml,Belle & Glow,14.99,2,BG-HAND-50ML,2.81,2025-07-19 10:00:00
134,59,27,39,50ml,50ml,Belle & Glow,68.99,1,BG-FRAG-50ML,0,2025-07-19 10:00:00
135,59,11,19,Peach Glow,Peach Glow,Belle & Glow,16.99,2,BG-BLUSH-PEACH,0,2025-07-19 10:00:00
136,60,17,27,Light Brown,Light Brown,Belle & Glow,14.99,1,BG-BROW-LIGHT,0,2025-07-19 10:00:00
137,60,22,34,75ml,75ml,Belle & Glow,23.99,1,BG-MASK-75ML,0,2025-07-19 10:00:00
138,60,17,28,Dark Brown,Dark Brown,Belle & Glow,14.99,1,BG-BROW-DARK,0,2025-07-19 10:00:00
139,61,3,6,Red Berry,Red Berry,Belle & Glow,18.99,1,BG-LIP-REDBERRY,0,2025-07-19 10:00:00
140,61,11,18,Coral Rose,Coral Rose,Belle & Glow,16.99,1,BG-BLUSH-CORAL,0,2025-07-19 10:00:00
141,61,5,10,Black,Black,Belle & Glow,15.99,2,BG-MASC-BLACK,0,2025-07-19 10:00:00
142,62,5,11,Brown,Brown,Belle & Glow,15.99,2,BG-MASC-BROWN,0.55,2025-07-19 10:00:00
143,63,3,6,Red Berry,Red Berry,Belle & Glow,18.99,1,BG-LIP-REDBERRY,0,2025-07-19 10:00:00
144,63,1,1,Light,Light,Belle & Glow,24.99,1,BG-FOUND-LIGHT,0,2025-07-19 10:00:00
145,63,5,11,Brown,Brown,Belle & Glow,15.99,2,BG-MASC-BROWN,7.6,2025-07-19 10:00:00
146,64,24,36,30ml,30ml,Belle & Glow,41.99,1,BG-ROSE-30ML,12.51,2025-07-19 10:00:00
147,65,13,21,Black,Black,Belle & Glow,12.99,1,BG-LINER-BLACK,0,2025-07-19 10:00:00
148,65,13,21,Black,Black,Belle & Glow,12.99,1,BG-LINER-BLACK,0,2025-07-19 10:00:00
149,65,1,2,Medium,Medium,Belle & Glow,24.99,1,BG-FOUND-MED,17.88,2025-07-19 10:00:00
150,66,11,18,Coral Rose,Coral Rose,Belle & Glow,16.99,1,BG-BLUSH-CORAL,0,2025-07-19 10:00:00
151,67,20,31,15ml,15ml,Belle & Glow,38.99,1,BG-EYE-15ML,0,2025-07-19 10:00:00
152,67,20,31,15ml,15ml,Belle & Glow,38.99,1,BG-EYE-15ML,0,2025-07-19 10:00:00
153,67,3,6,Red Berry,Red Berry,Belle & Glow,18.99,1,BG-LIP-REDBERRY,2.96,2025-07-19 10:00:00
154,67,17,27,Light Brown,Light Brown,Belle & Glow,14.99,2,BG-BROW-LIGHT,0,2025-07-19 10:00:00
155,68,12,20,200ml,200ml,Belle & Glow,26.99,1,BG-TONER-200ML,0,2025-07-19 10:00:00
156,68,13,21,Black,Black,Belle & Glow,12.99,1,BG-LINER-BLACK,0,2025-07-19 10:00:00
157,68,1,3,Dark,Dark,Belle & Glow,24.99,1,BG-FOUND-DARK,5.82,2025-07-19 10:00:00
158,69,27,40,100ml,100ml,Belle & Glow,98.99,1,BG-FRAG-100ML,0,2025-07-19 10:00:00
159,69,17,27,Light Brown,Light Brown,Belle & Glow,14.99,2,BG-BROW-LIGHT,0,2025-07-19 10:00:00
160,70,12,20,200ml,200ml,Belle & Glow,26.99,1,BG-TONER-200ML,4.71,2025-07-19 10:00:00
161,70,11,19,Peach Glow,Peach Glow,Belle & Glow,16.99,1,BG-BLUSH-PEACH,0,2025-07-19 10:00:00
162,71,14,23,50ml,50ml,Belle & Glow,29.99,1,BG-SPF-50ML,0,2025-07-19 10:00:00
163,71,5,10,Black,Black,Belle & Glow,15.99,1,BG-MASC-BLACK,0,2025-07-19 10:00:00
164,72,11,18,Coral Rose,Coral Rose,Belle & Glow,16.99,1,BG-BLUSH-CORAL,0,2025-07-19 10:00:00
165,72,21,32,Clear Shine,Clear Shine,Belle & Glow,13.99,2,BG-GLOSS-CLEAR,0,2025-07-19 10:00:00
166,73,13,21,Black,Black,Belle & Glow,12.99,1,BG-LINER-BLACK,0,2025-07-19 10:00:00
167,73,28,41,250ml,250ml,Belle & Glow,26.99,1,BG-LOTION-250ML,15.29,2025-07-19 10:00:00
168,74,17,27,Light Brown,Light Brown,Belle & Glow,14.99,1,BG-BROW-LIGHT,0,2025-07-19 10:00:00
169,74,3,6,Red Berry,Red Berry,Belle & Glow,18.99,2,BG-LIP-REDBERRY,4.68,2025-07-19 10:00:00
170,75,20,31,15ml,15ml,Belle & Glow,38.99,1,BG-EYE-15ML,21.84,2025-07-19 10:00:00
171,76,12,20,200ml,200ml,Belle & Glow,26.99,1,BG-TONER-200ML,0,2025-07-19 10:00:00
172,76,28,41,250ml,250ml,Belle & Glow,26.99,1,BG-LOTION-250ML,5.19,2025-07-19 10:00:00
173,77,5,10,Black,Black,Belle & Glow,15.99,1,BG-MASC-BLACK,0,2025-07-19 10:00:00
174,77,11,18,Coral Rose,Coral Rose,Belle & Glow,16.99,1,BG-BLUSH-CORAL,0,2025-07-19 10:00:00
175,77,18,29,400ml,400ml,Belle & Glow,18.99,1,BG-MIC-400ML,4.33,2025-07-19 10:00:00
176,78,7,13,Warm Tones,Warm Tones,Belle & Glow,34.99,1,BG-EYES-WARM,14.22,2025-07-19 10:00:00
177,79,12,20,200ml,200ml,Belle & Glow,26.99,1,BG-TONER-200ML,0,2025-07-19 10:00:00
178,79,3,6,Red Berry,Red Berry,Belle & Glow,18.99,1,BG-LIP-REDBERRY,6.81,2025-07-19 10:00:00
179,80,5,10,Black,Black,Belle & Glow,15.99,1,BG-MASC-BLACK,0,2025-07-19 10:00:00
180,80,12,20,200ml,200ml,Belle & Glow,26.99,1,BG-TONER-200ML,0,2025-07-19 10:00:00
181,81,8,15,100ml,100ml,Belle & Glow,19.99,1,BG-SCRUB-100ML,0,2025-07-19 10:00:00
182,81,19,30,100ml,100ml,Belle & Glow,24.99,1,BG-SET-100ML,14.06,2025-07-19 10:00:00
183,82,8,15,100ml,100ml,Belle & Glow,19.99,1,BG-SCRUB-100ML,0,2025-07-19 10:00:00
184,82,2,4,30ml,30ml,Belle & Glow,32.99,1,BG-SERUM-30ML,18.5,2025-07-19 10:00:00
185,83,21,32,Clear Shine,Clear Shine,Belle & Glow,13.99,1,BG-GLOSS-CLEAR,0,2025-07-19 10:00:00
186,83,3,6,Red Berry,Red Berry,Belle & Glow,18.99,1,BG-LIP-REDBERRY,0,2025-07-19 10:00:00
187,83,13,21,Black,Black,Belle & Glow,12.99,2,BG-LINER-BLACK,2.08,2025-07-19 10:00:00
188,84,13,21,Black,Black,Belle & Glow,12.99,1,BG-LINER-BLACK,0,2025-07-19 10:00:00
189,84,9,16,Complete Kit,Complete Kit,Belle & Glow,28.99,1,BG-CONT-KIT,18.61,2025-07-19 10:00:00
190,85,12,20,200ml,200ml,Belle & Glow,26.99,1,BG-TONER-200ML,0,2025-07-19 10:00:00
191,85,3,6,Red Berry,Red Berry,Belle & Glow,18.99,2,BG-LIP-REDBERRY,6.37,2025-07-19 10:00:00
192,86,21,32,Clear Shine,Clear Shine,Belle & Glow,13.99,1,BG-GLOSS-CLEAR,0,2025-07-19 10:00:00
193,86,13,21,Black,Black,Belle & Glow,12.99,1,BG-LINER-BLACK,0,2025-07-19 10:00:00
194,87,15,24,Golden Glow,Golden Glow,Belle & Glow,21.99,1,BG-HIGH-GOLD,0,2025-07-19 10:00:00
195,87,17,27,Light Brown,Light Brown,Belle & Glow,14.99,1,BG-BROW-LIGHT,0,2025-07-19 10:00:00
196,87,13,21,Black,Black,Belle & Glow,12.99,1,BG-LINER-BLACK,2.05,2025-07-19 10:00:00
197,88,1,2,Medium,Medium,Belle & Glow,24.99,1,BG-FOUND-MED,7.3,2025-07-19 10:00:00
198,89,13,21,Black,Black,Belle & Glow,12.99,1,BG-LINER-BLACK,0,2025-07-19 10:00:00
199,89,1,1,Light,Light,Belle & Glow,24.99,1,BG-FOUND-LIGHT,10.08,2025-07-19 10:00:00
200,90,18,29,400ml,400ml,Belle & Glow,18.99,2,BG-MIC-400ML,0,2025-07-19 10:00:00
201,91,13,21,Black,Black,Belle & Glow,12.99,1,BG-LINER-BLACK,0,2025-07-19 10:00:00
202,91,21,32,Clear Shine,Clear Shine,Belle & Glow,13.99,1,BG-GLOSS-CLEAR,6.73,2025-07-19 10:00:00
203,92,5,10,Black,Black,Belle & Glow,15.99,1,BG-MASC-BLACK,0,2025-07-19 10:00:00
204,92,1,3,Dark,Dark,Belle & Glow,24.99,1,BG-FOUND-DARK,6.62,2025-07-19 10:00:00
205,93,11,18,Coral Rose,Coral Rose,Belle & Glow,16.99,1,BG-BLUSH-CORAL,0,2025-07-19 10:00:00
206,93,5,10,Black,Black,Belle & Glow,15.99,1,BG-MASC-BLACK,0,2025-07-19 10:00:00
207,93,21,32,Clear Shine,Clear Shine,Belle & Glow,13.99,1,BG-GLOSS-CLEAR,5.92,2025-07-19 10:00:00
208,94,25,37,12 Piece Set,12 Piece Set,Belle & Glow,59.99,1,BG-BRUSH-12PC,23.07,2025-07-19 10:00:00
209,95,13,21,Black,Black,Belle & Glow,12.99,1,BG-LINER-BLACK,0,2025-07-19 10:00:00
210,95,17,28,Dark Brown,Dark Brown,Belle & Glow,14.99,2,BG-BROW-DARK,4.74,2025-07-19 10:00:00
211,96,20,31,15ml,15ml,Belle & Glow,38.99,1,BG-EYE-15ML,0.86,2025-07-19 10:00:00
212,97,10,17,30ml,30ml,Belle & Glow,48.99,1,BG-RET-30ML,0,2025-07-19 10:00:00
213,97,20,31,15ml,15ml,Belle & Glow,38.99,1,BG-EYE-15ML,0,2025-07-19 10:00:00
214,97,19,30,100ml,100ml,Belle & Glow,24.99,1,BG-SET-100ML,7.08,2025-07-19 10:00:00
215,98,12,20,200ml,200ml,Belle & Glow,26.99,1,BG-TONER-200ML,0,2025-07-19 10:00:00
216,98,3,8,Deep Plum,Deep Plum,Belle & Glow,18.99,1,BG-LIP-PLUM,6.0,2025-07-19 10:00:00
217,99,17,27,Light Brown,Light Brown,Belle & Glow,14.99,1,BG-BROW-LIGHT,0,2025-07-19 10:00:00
218,99,12,20,200ml,200ml,Belle & Glow,26.99,1,BG-TONER-200ML,12.37,2025-07-19 10:00:00
219,100,13,21,Black,Black,Belle & Glow,12.99,1,BG-LINER-BLACK,0,2025-07-19 10:00:00
220,100,13,21,Black,Black,Belle & Glow,12.99,1,BG-LINER-BLACK,0,2025-07-19 10:00:00
221,100,13,22,Brown,Brown,Belle & Glow,12.99,1,BG-LINER-BROWN,10.26,2025-07-19 10:00:00
222,101,15,25,Pearl Shine,Pearl Shine,Belle & Glow,21.99,1,BG-HIGH-PEARL,0,2025-07-19 10:00:00
223,102,14,23,50ml,50ml,Belle & Glow,29.99,1,BG-SPF-50ML,0,2025-07-19 10:00:00
224,102,3,6,Red Berry,Red Berry,Belle & Glow,18.99,2,BG-LIP-REDBERRY,0,2025-07-19 10:00:00
225,103,2,4,30ml,30ml,Belle & Glow,32.99,1,BG-SERUM-30ML,0,2025-07-19 10:00:00
226,103,1,2,Medium,Medium,Belle & Glow,24.99,2,BG-FOUND-MED,9.46,2025-07-19 10:00:00
227,104,17,27,Light Brown,Light Brown,Belle & Glow,14.99,1,BG-BROW-LIGHT,0,2025-07-19 10:00:00
228,104,13,21,Black,Black,Belle & Glow,12.99,1,BG-LINER-BLACK,0,2025-07-19 10:00:00
229,104,30,43,50ml,50ml,Belle & Glow,14.99,2,BG-HAND-50ML,7.39,2025-07-19 10:00:00
230,105,13,21,Black,Black,Belle & Glow,12.99,1,BG-LINER-BLACK,0,2025-07-19 10:00:00
231,105,11,18,Coral Rose,Coral Rose,Belle & Glow,16.99,1,BG-BLUSH-CORAL,0,2025-07-19 10:00:00
232,105,8,15,100ml,100ml,Belle & Glow,19.99,1,BG-SCRUB-100ML,0,2025-07-19 10:00:00
233,105,28,41,250ml,250ml,Belle & Glow,26.99,1,BG-LOTION-250ML,16.2,2025-07-19 10:00:00
